census region,vintage,technology,value
66,2008,29,480.0
66,2009,29,480.0
66,2010,29,480.0
66,2011,29,480.0
66,2012,29,480.0
66,2013,29,480.0
66,2014,29,480.0
66,2015,29,480.0
66,2016,29,480.0
67,2008,29,480.0
67,2009,29,480.0
67,2010,29,480.0
67,2011,29,480.0
67,2012,29,480.0
67,2013,29,480.0
67,2014,29,480.0
67,2015,29,480.0
67,2016,29,480.0
68,2008,29,480.0
68,2009,29,480.0
68,2010,29,480.0
68,2011,29,480.0
68,2012,29,480.0
68,2013,29,480.0
68,2014,29,480.0
68,2015,29,480.0
68,2016,29,480.0
69,2008,29,480.0
69,2009,29,480.0
69,2010,29,480.0
69,2011,29,480.0
69,2012,29,480.0
69,2013,29,480.0
69,2014,29,480.0
69,2015,29,480.0
69,2016,29,480.0
