census region,vintage,technology,value
66,1999,7,650.0
66,2000,7,650.0
66,2001,7,650.0
66,2002,7,650.0
66,2003,7,650.0
66,2004,7,650.0
66,2005,7,650.0
66,2006,7,650.0
66,2007,7,650.0
66,2008,7,650.0
66,2009,7,650.0
66,2010,7,650.0
66,2011,7,650.0
66,2012,7,650.0
66,2013,7,650.0
66,2014,7,650.0
66,2015,7,650.0
66,2016,7,650.0
67,1999,7,650.0
67,2000,7,650.0
67,2001,7,650.0
67,2002,7,650.0
67,2003,7,650.0
67,2004,7,650.0
67,2005,7,650.0
67,2006,7,650.0
67,2007,7,650.0
67,2008,7,650.0
67,2009,7,650.0
67,2010,7,650.0
67,2011,7,650.0
67,2012,7,650.0
67,2013,7,650.0
67,2014,7,650.0
67,2015,7,650.0
67,2016,7,650.0
68,1999,7,650.0
68,2000,7,650.0
68,2001,7,650.0
68,2002,7,650.0
68,2003,7,650.0
68,2004,7,650.0
68,2005,7,650.0
68,2006,7,650.0
68,2007,7,650.0
68,2008,7,650.0
68,2009,7,650.0
68,2010,7,650.0
68,2011,7,650.0
68,2012,7,650.0
68,2013,7,650.0
68,2014,7,650.0
68,2015,7,650.0
68,2016,7,650.0
69,1999,7,650.0
69,2000,7,650.0
69,2001,7,650.0
69,2002,7,650.0
69,2003,7,650.0
69,2004,7,650.0
69,2005,7,650.0
69,2006,7,650.0
69,2007,7,650.0
69,2008,7,650.0
69,2009,7,650.0
69,2010,7,650.0
69,2011,7,650.0
69,2012,7,650.0
69,2013,7,650.0
69,2014,7,650.0
69,2015,7,650.0
69,2016,7,650.0
