census region,housing types,technology,final_energy,vintage,2009,2010,2011,2012,2013,2014,2015,2016
66,nan,29,2.0,2008,,,,,,,,
66,nan,29,2.0,2009,,,,,,,,
66,nan,29,2.0,2010,,,,,,,,
66,nan,29,2.0,2011,,,,,,,,
66,nan,29,2.0,2012,,,,,,,,
66,nan,29,2.0,2013,,,,,,,,
66,nan,29,2.0,2014,,,,,,,,
66,nan,29,2.0,2015,,,,,,,,
66,nan,29,2.0,2016,,,,,,,,
66,nan,29,3.0,2008,,,,,,,,
66,nan,29,3.0,2009,,,,,,,,
66,nan,29,3.0,2010,,,,,,,,
66,nan,29,3.0,2011,,,,,,,,
66,nan,29,3.0,2012,,,,,,,,
66,nan,29,3.0,2013,,,,,,,,
66,nan,29,3.0,2014,,,,,,,,
66,nan,29,3.0,2015,,,,,,,,
66,nan,29,3.0,2016,,,,,,,,
66,nan,29,5.0,2008,,,,,,,,
66,nan,29,5.0,2009,,,,,,,,
66,nan,29,5.0,2010,,,,,,,,
66,nan,29,5.0,2011,,,,,,,,
66,nan,29,5.0,2012,,,,,,,,
66,nan,29,5.0,2013,,,,,,,,
66,nan,29,5.0,2014,,,,,,,,
66,nan,29,5.0,2015,,,,,,,,
66,nan,29,5.0,2016,,,,,,,,
66,nan,29,10.0,2008,,,,,,,,
66,nan,29,10.0,2009,,,,,,,,
66,nan,29,10.0,2010,,,,,,,,
66,nan,29,10.0,2011,,,,,,,,
66,nan,29,10.0,2012,,,,,,,,
66,nan,29,10.0,2013,,,,,,,,
66,nan,29,10.0,2014,,,,,,,,
66,nan,29,10.0,2015,,,,,,,,
66,nan,29,10.0,2016,,,,,,,,
66,nan,31,2.0,2008,,,,,,,,
66,nan,31,2.0,2009,,,,,,,,
66,nan,31,2.0,2010,,,,,,,,
66,nan,31,2.0,2011,,,,,,,,
66,nan,31,2.0,2012,,,,,,,,
66,nan,31,2.0,2013,,,,,,,,
66,nan,31,2.0,2014,,,,,,,,
66,nan,31,2.0,2015,,,,,,,,
66,nan,31,2.0,2016,,,,,,,,
66,nan,31,4.0,2008,,,,,,,,
66,nan,31,4.0,2009,,,,,,,,
66,nan,31,4.0,2010,,,,,,,,
66,nan,31,4.0,2011,,,,,,,,
66,nan,31,4.0,2012,,,,,,,,
66,nan,31,4.0,2013,,,,,,,,
66,nan,31,4.0,2014,,,,,,,,
66,nan,31,4.0,2015,,,,,,,,
66,nan,31,4.0,2016,,,,,,,,
66,nan,31,5.0,2008,,,,,,,,
66,nan,31,5.0,2009,,,,,,,,
66,nan,31,5.0,2010,,,,,,,,
66,nan,31,5.0,2011,,,,,,,,
66,nan,31,5.0,2012,,,,,,,,
66,nan,31,5.0,2013,,,,,,,,
66,nan,31,5.0,2014,,,,,,,,
66,nan,31,5.0,2015,,,,,,,,
66,nan,31,5.0,2016,,,,,,,,
66,nan,31,10.0,2008,,,,,,,,
66,nan,31,10.0,2009,,,,,,,,
66,nan,31,10.0,2010,,,,,,,,
66,nan,31,10.0,2011,,,,,,,,
66,nan,31,10.0,2012,,,,,,,,
66,nan,31,10.0,2013,,,,,,,,
66,nan,31,10.0,2014,,,,,,,,
66,nan,31,10.0,2015,,,,,,,,
66,nan,31,10.0,2016,,,,,,,,
66,nan,33,2.0,2008,,,,,,,,
66,nan,33,2.0,2009,,,,,,,,
66,nan,33,2.0,2010,,,,,,,,
66,nan,33,2.0,2011,,,,,,,,
66,nan,33,2.0,2012,,,,,,,,
66,nan,33,2.0,2013,,,,,,,,
66,nan,33,2.0,2014,,,,,,,,
66,nan,33,2.0,2015,,,,,,,,
66,nan,33,2.0,2016,,,,,,,,
66,nan,33,3.0,2008,,,,,,,,
66,nan,33,3.0,2009,,,,,,,,
66,nan,33,3.0,2010,,,,,,,,
66,nan,33,3.0,2011,,,,,,,,
66,nan,33,3.0,2012,,,,,,,,
66,nan,33,3.0,2013,,,,,,,,
66,nan,33,3.0,2014,,,,,,,,
66,nan,33,3.0,2015,,,,,,,,
66,nan,33,3.0,2016,,,,,,,,
66,nan,33,4.0,2008,,,,,,,,
66,nan,33,4.0,2009,,,,,,,,
66,nan,33,4.0,2010,,,,,,,,
66,nan,33,4.0,2011,,,,,,,,
66,nan,33,4.0,2012,,,,,,,,
66,nan,33,4.0,2013,,,,,,,,
66,nan,33,4.0,2014,,,,,,,,
66,nan,33,4.0,2015,,,,,,,,
66,nan,33,4.0,2016,,,,,,,,
66,nan,33,10.0,2008,,,,,,,,
66,nan,33,10.0,2009,,,,,,,,
66,nan,33,10.0,2010,,,,,,,,
66,nan,33,10.0,2011,,,,,,,,
66,nan,33,10.0,2012,,,,,,,,
66,nan,33,10.0,2013,,,,,,,,
66,nan,33,10.0,2014,,,,,,,,
66,nan,33,10.0,2015,,,,,,,,
66,nan,33,10.0,2016,,,,,,,,
66,nan,35,3.0,2008,,,,,,,,
66,nan,35,3.0,2009,,,,,,,,
66,nan,35,3.0,2010,,,,,,,,
66,nan,35,3.0,2011,,,,,,,,
66,nan,35,3.0,2012,,,,,,,,
